0	NIHOVCAR3_OVARY	0
1	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0
2	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0
3	HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0
4	MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0
5	LS513_LARGE_INTESTINE	0
6	A101D_SKIN	0
7	253J_URINARY_TRACT	0
8	HCC827_LUNG	0
9	ONCODG1_OVARY	0
10	HS294T_SKIN	0
11	NCIH1581_LUNG	0
12	T24_URINARY_TRACT	0
13	MCF7_BREAST	0
14	NCIH1693_LUNG	0
15	PATU8988S_PANCREAS	0
16	PATU8988T_PANCREAS	0
17	CH157MN_CENTRAL_NERVOUS_SYSTEM	0
18	253JBV_URINARY_TRACT	0
19	GOS3_CENTRAL_NERVOUS_SYSTEM	0
20	PC14_LUNG	0
21	NCIH1650_LUNG	0
22	U343_CENTRAL_NERVOUS_SYSTEM	0
23	S117_THYROID	0
24	SKNMC_BONE	0
25	U118MG_CENTRAL_NERVOUS_SYSTEM	0
26	RDES_BONE	0
27	PANC0203_PANCREAS	0
28	ACHN_KIDNEY	0
29	TOV112D_OVARY	0
30	TE617T_SOFT_TISSUE	0
31	A673_BONE	0
32	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0
33	HT1080_SOFT_TISSUE	0
34	DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0
35	SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0
36	PANC1005_PANCREAS	0
37	HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0
38	RERFLCMS_LUNG	0
39	OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0
40	HCC4006_LUNG	0
41	HS683_CENTRAL_NERVOUS_SYSTEM	0
42	HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0
43	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0
44	MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0
45	GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0
46	KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0
47	U87MG_CENTRAL_NERVOUS_SYSTEM	0
48	NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0
